Trial,Episode_Return,Episode_Return_smooth,env_step
1,58,16.979999999999997,12500
1,31,17.34,12750
1,53,18.08,13000
1,34,18.5,13250
1,18,18.56,13500
1,21,18.72,13750
1,25,19.000000000000004,14000
1,18,19.06,14250
1,33,19.56,14500
1,31,19.98,14750
1,58,20.98,15000
1,18,21.16,15250
1,14,21.24,15500
1,16,21.36,15750
1,13,21.420000000000005,16000
1,22,21.66,16250
1,12,21.68,16500
1,14,21.8,16750
1,19,21.96,17000
1,67,23.12,17250
1,25,23.44,17500
1,68,24.58,17750
1,38,24.940000000000005,18000
1,14,25.02,18250
1,60,26.020000000000003,18500
1,86,27.48,18750
1,33,27.880000000000003,19000
1,73,29.06,19250
1,72,30.300000000000004,19500
1,38,30.84,19750
1,147,33.6,20000
1,64,34.620000000000005,20250
1,57,35.32,20500
1,58,36.06,20750
1,52,36.8,21000
1,59,37.68,21250
1,79,39.08,21500
1,83,40.4,21750
1,16,40.38,22000
1,32,40.72,22250
1,16,40.78,22500
1,26,40.940000000000005,22750
1,43,41.580000000000005,23000
1,39,42.12,23250
1,43,42.21999999999999,23500
1,75,43.10000000000001,23750
1,41,43.42000000000001,24000
1,49,43.68000000000001,24250
1,19,43.48,24500
1,62,42.84,24750
1,42,42.52,25000
1,34,42.58,25250
1,23,41.98,25500
1,48,42.25999999999999,25750
1,24,42.38,26000
1,37,42.7,26250
1,42,43.04,26500
1,25,43.17999999999999,26750
1,35,43.22,27000
1,77,44.14,27250
1,76,44.50000000000001,27500
1,37,44.88,27750
1,50,45.6,28000
1,56,46.4,28250
1,40,46.940000000000005,28500
1,35,47.2,28750
1,27,47.5,29000
1,57,48.36,29250
1,59,49.16,29500
1,43,48.68,29750
1,48,49.13999999999999,30000
1,46,48.7,30250
1,45,48.84,30500
1,57,49.70000000000001,30750
1,85,50.2,31000
1,83,50.13999999999999,31250
1,38,50.24,31500
1,41,49.6,31750
1,33,48.81999999999999,32000
1,41,48.88,32250
1,47,46.88,32500
1,87,47.34,32750
1,65,47.5,33000
1,67,47.68,33250
1,48,47.6,33500
1,53,47.48,33750
1,105,48,34000
1,63,47.6,34250
1,87,49.02,34500
1,85,50.08,34750
1,138,52.52,35000
1,48,52.96,35250
1,111,54.31999999999999,35500
1,88,55.3,35750
1,89,56.22,36000
1,53,55.78,36250
1,88,56.72,36500
1,238,60.5,36750
1,94,61.99999999999999,37000
1,162,64,37250
1,102,65.2,37500
1,113,66.78,37750
1,222,70.75999999999999,38000
1,120,72.2,38250
1,150,74.72000000000001,38500
1,84,75.66000000000001,38750
1,84,76.5,39000
1,104,78.08,39250
1,96,79.3,39500
1,112,80,39750
1,187,82.22,40000
1,120,83.88,40250
1,133,85.54,40500
1,189,88.2,40750
1,207,91.54,41000
1,162,94.08,41250
1,104,95.62,41500
1,172,97.92,41750
1,295,102.64,42000
1,216,106.1,42250
1,351,112.16,42500
1,130,113.84,42750
1,152,115.98,43000
1,147,117.78000000000002,43250
1,234,120.76,43500
1,392,126.94,43750
1,500,136.18,44000
1,500,145.36,44250
1,500,154.70000000000002,44500
1,500,163.87999999999997,44750
1,253,168,45000
1,500,176.25999999999996,45250
1,500,184.96,45500
1,500,193.62,45750
1,286,198.38,46000
1,256,202.44,46250
1,179,203.92,46500
1,216,206.98,46750
1,363,212.5,47000
1,500,220.8,47250
1,488,227.8,47500
1,500,236.84000000000003,47750
1,500,244.62,48000
1,500,252.86,48250
1,500,261.08,48500
1,309,266.2,48750
1,413,272.7,49000
1,170,271.34,49250
1,180,273.06,49500
1,373,277.28000000000003,49750
1,220,279.64,50000
1,265,282.68,50250
1,218,282.6,50500
1,309,286.38,50750
1,186,287.1,51000
1,211,289.64,51250
1,266,293.28000000000003,51500
1,214,295.48,51750
1,369,300.94,52000
1,393,306.56,52250
1,299,308.79999999999995,52500
1,296,312.32,52750
1,209,313.84000000000003,53000
1,155,313.16,53250
1,212,313.26,53500
1,154,313.1,53750
