instance,agent,run,seed,cost,return,done,route
Random_15_nodes,VI_optimal,1,10042,504.2008857727051,-504.2008857727051,True,"[9, 6, 14, 10, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 9]"
Random_15_nodes,Classic_DP_base,1,10042,504.2008857727051,-504.2008857727051,True,"[9, 6, 14, 10, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 9]"
Random_15_nodes,A2C,1,10042,297.0,-297.0,True,"[9, 11, 8, 12, 7, 3, 10, 0, 6, 13, 5, 2, 14, 1, 4, 9]"
Random_15_nodes,PointerNet,1,10042,452.0,-452.0,True,"[9, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 9]"
Random_15_nodes,Heuristic,1,10042,205.82691383361816,-205.82691383361816,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,2,10043,453.2310676574707,-453.2310676574707,True,"[7, 6, 14, 10, 2, 12, 8, 3, 13, 5, 0, 9, 11, 4, 1, 7]"
Random_15_nodes,Classic_DP_base,2,10043,453.2310676574707,-453.2310676574707,True,"[7, 6, 14, 10, 2, 12, 8, 3, 13, 5, 0, 9, 11, 4, 1, 7]"
Random_15_nodes,A2C,2,10043,274.0,-274.0,True,"[7, 11, 9, 12, 8, 3, 10, 0, 6, 13, 5, 2, 14, 1, 4, 7]"
Random_15_nodes,PointerNet,2,10043,540.4374389648438,-540.4374389648438,True,"[7, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 7]"
Random_15_nodes,Heuristic,2,10043,209.4972152709961,-209.4972152709961,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,3,10044,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
Random_15_nodes,Classic_DP_base,3,10044,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
